"leafID","leafID2","species","ind","trt","spore_assay","processor","symptoms","sp_viable","inf_viable","counter","date_counted","count1","count2","count3","count4","vol1","vol2","vol3","vol4","lesion_size","notes"
97,"97S","CEOL",13,"T","S",,,,,,,,,,,,,,,,
97,"97C","CEOL",13,"T","C",,,,,,,,,,,,,,,,
98,"98S","CEOL",14,"T","S",,,,,,,,,,,,,,,,
98,"98C","CEOL",14,"T","C",,,,,,,,,,,,,,,,
99,"99S","CEOL",15,"T","S",,,,,,,,,,,,,,,,
99,"99C","CEOL",15,"T","C",,,,,,,,,,,,,,,,
100,"100S","CEOL",16,"T","S",,,,,,,,,,,,,,,,
100,"100C","CEOL",16,"T","C",,,,,,,,,,,,,,,,
101,"101S","CEOL",17,"T","S",,,,,,,,,,,,,,,,
101,"101C","CEOL",17,"T","C",,,,,,,,,,,,,,,,
102,"102S","CEOL",18,"T","S",,,,,,,,,,,,,,,,
102,"102C","CEOL",18,"T","C",,,,,,,,,,,,,,,,
103,"103S","CEOL",19,"T","S",,,,,,,,,,,,,,,,
103,"103C","CEOL",19,"T","C",,,,,,,,,,,,,,,,
104,"104S","CEOL",20,"T","S",,,,,,,,,,,,,,,,
104,"104C","CEOL",20,"T","C",,,,,,,,,,,,,,,,
105,"105S","CEOL",21,"T","S",,,,,,,,,,,,,,,,
105,"105C","CEOL",21,"T","C",,,,,,,,,,,,,,,,
106,"106S","CEOL",22,"T","S",,,,,,,,,,,,,,,,
106,"106C","CEOL",22,"T","C",,,,,,,,,,,,,,,,
107,"107S","CEOL",23,"T","S",,,,,,,,,,,,,,,,
107,"107C","CEOL",23,"T","C",,,,,,,,,,,,,,,,
108,"108S","CEOL",24,"T","S",,,,,,,,,,,,,,,,
108,"108C","CEOL",24,"T","C",,,,,,,,,,,,,,,,
109,"109S","CEOL",25,"T","S",,,,,,,,,,,,,,,,
109,"109C","CEOL",25,"T","C",,,,,,,,,,,,,,,,
110,"110S","CEOL",26,"T","S",,,,,,,,,,,,,,,,
110,"110C","CEOL",26,"T","C",,,,,,,,,,,,,,,,
111,"111S","CEOL",27,"T","S",,,,,,,,,,,,,,,,
111,"111C","CEOL",27,"T","C",,,,,,,,,,,,,,,,
112,"112S","CEOL",28,"T","S",,,,,,,,,,,,,,,,
112,"112C","CEOL",28,"T","C",,,,,,,,,,,,,,,,
113,"113S","CEOL",29,"T","S",,,,,,,,,,,,,,,,
113,"113C","CEOL",29,"T","C",,,,,,,,,,,,,,,,
114,"114S","CEOL",30,"T","S",,,,,,,,,,,,,,,,
114,"114C","CEOL",30,"T","C",,,,,,,,,,,,,,,,
115,"115S","CEOL",31,"T","S",,,,,,,,,,,,,,,,
115,"115C","CEOL",31,"T","C",,,,,,,,,,,,,,,,
116,"116S","CEOL",32,"T","S",,,,,,,,,,,,,,,,
116,"116C","CEOL",32,"T","C",,,,,,,,,,,,,,,,
117,"117S","CEOL",1,"C","S",,,,,,,,,,,,,,,,
117,"117C","CEOL",1,"C","C",,,,,,,,,,,,,,,,
118,"118S","CEOL",2,"C","S",,,,,,,,,,,,,,,,
118,"118C","CEOL",2,"C","C",,,,,,,,,,,,,,,,
119,"119S","CEOL",3,"C","S",,,,,,,,,,,,,,,,
119,"119C","CEOL",3,"C","C",,,,,,,,,,,,,,,,
120,"120S","CEOL",4,"C","S",,,,,,,,,,,,,,,,
120,"120C","CEOL",4,"C","C",,,,,,,,,,,,,,,,
121,"121S","CEOL",5,"C","S",,,,,,,,,,,,,,,,
121,"121C","CEOL",5,"C","C",,,,,,,,,,,,,,,,
122,"122S","CEOL",6,"C","S",,,,,,,,,,,,,,,,
122,"122C","CEOL",6,"C","C",,,,,,,,,,,,,,,,
123,"123S","CEOL",7,"C","S",,,,,,,,,,,,,,,,
123,"123C","CEOL",7,"C","C",,,,,,,,,,,,,,,,
124,"124S","CEOL",8,"C","S",,,,,,,,,,,,,,,,
124,"124C","CEOL",8,"C","C",,,,,,,,,,,,,,,,
125,"125S","CEOL",9,"C","S",,,,,,,,,,,,,,,,
125,"125C","CEOL",9,"C","C",,,,,,,,,,,,,,,,
126,"126S","CEOL",10,"C","S",,,,,,,,,,,,,,,,
126,"126C","CEOL",10,"C","C",,,,,,,,,,,,,,,,
127,"127S","HEAR",1,"T","S",,,,,,,,,,,,,,,,
127,"127C","HEAR",1,"T","C",,,,,,,,,,,,,,,,
128,"128S","HEAR",2,"T","S",,,,,,,,,,,,,,,,
128,"128C","HEAR",2,"T","C",,,,,,,,,,,,,,,,
129,"129S","HEAR",3,"T","S",,,,,,,,,,,,,,,,
129,"129C","HEAR",3,"T","C",,,,,,,,,,,,,,,,
130,"130S","HEAR",4,"T","S",,,,,,,,,,,,,,,,
130,"130C","HEAR",4,"T","C",,,,,,,,,,,,,,,,
131,"131S","HEAR",5,"T","S",,,,,,,,,,,,,,,,
131,"131C","HEAR",5,"T","C",,,,,,,,,,,,,,,,
132,"132S","HEAR",6,"T","S",,,,,,,,,,,,,,,,
132,"132C","HEAR",6,"T","C",,,,,,,,,,,,,,,,
133,"133S","HEAR",7,"T","S",,,,,,,,,,,,,,,,
133,"133C","HEAR",7,"T","C",,,,,,,,,,,,,,,,
134,"134S","HEAR",8,"T","S",,,,,,,,,,,,,,,,
134,"134C","HEAR",8,"T","C",,,,,,,,,,,,,,,,
135,"135S","HEAR",9,"T","S",,,,,,,,,,,,,,,,
135,"135C","HEAR",9,"T","C",,,,,,,,,,,,,,,,
136,"136S","HEAR",10,"T","S",,,,,,,,,,,,,,,,
136,"136C","HEAR",10,"T","C",,,,,,,,,,,,,,,,
137,"137S","HEAR",11,"T","S",,,,,,,,,,,,,,,,
137,"137C","HEAR",11,"T","C",,,,,,,,,,,,,,,,
138,"138S","HEAR",12,"T","S",,,,,,,,,,,,,,,,
138,"138C","HEAR",12,"T","C",,,,,,,,,,,,,,,,
139,"139S","HEAR",13,"T","S",,,,,,,,,,,,,,,,
139,"139C","HEAR",13,"T","C",,,,,,,,,,,,,,,,
140,"140S","HEAR",14,"T","S",,,,,,,,,,,,,,,,
140,"140C","HEAR",14,"T","C",,,,,,,,,,,,,,,,
141,"141S","HEAR",15,"T","S",,,,,,,,,,,,,,,,
141,"141C","HEAR",15,"T","C",,,,,,,,,,,,,,,,
142,"142S","HEAR",16,"T","S",,,,,,,,,,,,,,,,
142,"142C","HEAR",16,"T","C",,,,,,,,,,,,,,,,
143,"143S","HEAR",17,"T","S",,,,,,,,,,,,,,,,
143,"143C","HEAR",17,"T","C",,,,,,,,,,,,,,,,
144,"144S","HEAR",18,"T","S",,,,,,,,,,,,,,,,
144,"144C","HEAR",18,"T","C",,,,,,,,,,,,,,,,
145,"145S","HEAR",19,"T","S",,,,,,,,,,,,,,,,
145,"145C","HEAR",19,"T","C",,,,,,,,,,,,,,,,
146,"146S","HEAR",20,"T","S",,,,,,,,,,,,,,,,
146,"146C","HEAR",20,"T","C",,,,,,,,,,,,,,,,
147,"147S","HEAR",21,"T","S",,,,,,,,,,,,,,,,
147,"147C","HEAR",21,"T","C",,,,,,,,,,,,,,,,
148,"148S","HEAR",22,"T","S",,,,,,,,,,,,,,,,
148,"148C","HEAR",22,"T","C",,,,,,,,,,,,,,,,
149,"149S","HEAR",23,"T","S",,,,,,,,,,,,,,,,
149,"149C","HEAR",23,"T","C",,,,,,,,,,,,,,,,
150,"150S","HEAR",24,"T","S",,,,,,,,,,,,,,,,
150,"150C","HEAR",24,"T","C",,,,,,,,,,,,,,,,
151,"151S","HEAR",25,"T","S",,,,,,,,,,,,,,,,
151,"151C","HEAR",25,"T","C",,,,,,,,,,,,,,,,
152,"152S","HEAR",26,"T","S",,,,,,,,,,,,,,,,
152,"152C","HEAR",26,"T","C",,,,,,,,,,,,,,,,
153,"153S","HEAR",27,"T","S",,,,,,,,,,,,,,,,
153,"153C","HEAR",27,"T","C",,,,,,,,,,,,,,,,
154,"154S","HEAR",28,"T","S",,,,,,,,,,,,,,,,
154,"154C","HEAR",28,"T","C",,,,,,,,,,,,,,,,
155,"155S","HEAR",29,"T","S",,,,,,,,,,,,,,,,
155,"155C","HEAR",29,"T","C",,,,,,,,,,,,,,,,
156,"156S","HEAR",30,"T","S",,,,,,,,,,,,,,,,
156,"156C","HEAR",30,"T","C",,,,,,,,,,,,,,,,
157,"157S","HEAR",31,"T","S",,,,,,,,,,,,,,,,
157,"157C","HEAR",31,"T","C",,,,,,,,,,,,,,,,
158,"158S","HEAR",32,"T","S",,,,,,,,,,,,,,,,
158,"158C","HEAR",32,"T","C",,,,,,,,,,,,,,,,
159,"159S","HEAR",1,"C","S",,,,,,,,,,,,,,,,
159,"159C","HEAR",1,"C","C",,,,,,,,,,,,,,,,
160,"160S","HEAR",2,"C","S",,,,,,,,,,,,,,,,
160,"160C","HEAR",2,"C","C",,,,,,,,,,,,,,,,
161,"161S","HEAR",3,"C","S",,,,,,,,,,,,,,,,
161,"161C","HEAR",3,"C","C",,,,,,,,,,,,,,,,
162,"162S","HEAR",4,"C","S",,,,,,,,,,,,,,,,
162,"162C","HEAR",4,"C","C",,,,,,,,,,,,,,,,
163,"163S","HEAR",5,"C","S",,,,,,,,,,,,,,,,
163,"163C","HEAR",5,"C","C",,,,,,,,,,,,,,,,
164,"164S","HEAR",6,"C","S",,,,,,,,,,,,,,,,
164,"164C","HEAR",6,"C","C",,,,,,,,,,,,,,,,
165,"165S","HEAR",7,"C","S",,,,,,,,,,,,,,,,
165,"165C","HEAR",7,"C","C",,,,,,,,,,,,,,,,
166,"166S","HEAR",8,"C","S",,,,,,,,,,,,,,,,
166,"166C","HEAR",8,"C","C",,,,,,,,,,,,,,,,
167,"167S","HEAR",9,"C","S",,,,,,,,,,,,,,,,
167,"167C","HEAR",9,"C","C",,,,,,,,,,,,,,,,
168,"168S","HEAR",10,"C","S",,,,,,,,,,,,,,,,
168,"168C","HEAR",10,"C","C",,,,,,,,,,,,,,,,
169,"169S","LIDE",1,"T","S",,,,,,,,,,,,,,,,
169,"169C","LIDE",1,"T","C",,,,,,,,,,,,,,,,
170,"170S","LIDE",2,"T","S",,,,,,,,,,,,,,,,
170,"170C","LIDE",2,"T","C",,,,,,,,,,,,,,,,
171,"171S","LIDE",3,"T","S",,,,,,,,,,,,,,,,
171,"171C","LIDE",3,"T","C",,,,,,,,,,,,,,,,
172,"172S","LIDE",4,"T","S",,,,,,,,,,,,,,,,
172,"172C","LIDE",4,"T","C",,,,,,,,,,,,,,,,
173,"173S","LIDE",5,"T","S",,,,,,,,,,,,,,,,
173,"173C","LIDE",5,"T","C",,,,,,,,,,,,,,,,
174,"174S","LIDE",6,"T","S",,,,,,,,,,,,,,,,
174,"174C","LIDE",6,"T","C",,,,,,,,,,,,,,,,
175,"175S","LIDE",7,"T","S",,,,,,,,,,,,,,,,
175,"175C","LIDE",7,"T","C",,,,,,,,,,,,,,,,
176,"176S","LIDE",8,"T","S",,,,,,,,,,,,,,,,
176,"176C","LIDE",8,"T","C",,,,,,,,,,,,,,,,
177,"177S","LIDE",9,"T","S",,,,,,,,,,,,,,,,
177,"177C","LIDE",9,"T","C",,,,,,,,,,,,,,,,
178,"178S","LIDE",10,"T","S",,,,,,,,,,,,,,,,
178,"178C","LIDE",10,"T","C",,,,,,,,,,,,,,,,
179,"179S","LIDE",11,"T","S",,,,,,,,,,,,,,,,
179,"179C","LIDE",11,"T","C",,,,,,,,,,,,,,,,
180,"180S","LIDE",12,"T","S",,,,,,,,,,,,,,,,
180,"180C","LIDE",12,"T","C",,,,,,,,,,,,,,,,
181,"181S","LIDE",13,"T","S",,,,,,,,,,,,,,,,
181,"181C","LIDE",13,"T","C",,,,,,,,,,,,,,,,
182,"182S","LIDE",14,"T","S",,,,,,,,,,,,,,,,
182,"182C","LIDE",14,"T","C",,,,,,,,,,,,,,,,
183,"183S","LIDE",15,"T","S",,,,,,,,,,,,,,,,
183,"183C","LIDE",15,"T","C",,,,,,,,,,,,,,,,
184,"184S","LIDE",16,"T","S",,,,,,,,,,,,,,,,
184,"184C","LIDE",16,"T","C",,,,,,,,,,,,,,,,
185,"185S","LIDE",17,"T","S",,,,,,,,,,,,,,,,
185,"185C","LIDE",17,"T","C",,,,,,,,,,,,,,,,
186,"186S","LIDE",18,"T","S",,,,,,,,,,,,,,,,
186,"186C","LIDE",18,"T","C",,,,,,,,,,,,,,,,
187,"187S","LIDE",19,"T","S",,,,,,,,,,,,,,,,
187,"187C","LIDE",19,"T","C",,,,,,,,,,,,,,,,
188,"188S","LIDE",20,"T","S",,,,,,,,,,,,,,,,
