"leafID","leafID2","species","ind","leaf","trt","spore_assay","processor","spore_counter","date_counted","count1","count2","count3","prop","perc_lesion","leaf_area_cm2","lesion_area_cm2","asymp","notes","omit","easting","northing","date_proc"
67,"67C","ARME",25,1,"T","C","LMR","SF",2019-06-22,"0","NA","NA","1",100,1.23,1.23,NA,NA,NA,605797,4023862,2019-05-17
68,"68S","ARME",26,1,"T","S","SF","LMR",2019-08-07,"1","0","0","NA",99.89,1.23,1.23,NA,NA,NA,605800,4023875,2019-05-17
68,"68C","ARME",26,1,"T","C","LMR","SF",2019-06-22,"40","NA","NA","1",94.83,1.23,1.16,NA,NA,NA,605800,4023875,2019-05-17
69,"69S","ARME",27,1,"T","S","SF","LMR",2019-08-07,"0","0","0","NA",100,1.23,1.23,NA,NA,NA,605800,4023875,2019-05-17
69,"69C","ARME",27,1,"T","C","LMR","SF",2019-06-22,"59","NA","NA","1",93.19,1.23,1.14,NA,NA,NA,605800,4023875,2019-05-17
70,"70S","ARME",28,1,"T","S","SF","LMR",2019-08-07,"0","1","0","NA",100,1.23,1.23,NA,NA,NA,605800,4023870,2019-05-17
70,"70C","ARME",28,1,"T","C","LMR","SF",2019-06-22,"15","NA","NA","1",97.79,1.23,1.2,NA,NA,NA,605800,4023870,2019-05-17
71,"71S","ARME",29,1,"T","S","SF","LMR",NA,"NA","NA","NA","NA",NA,1.23,NA,NA,"omit. No drop or lesion",1,605822,4023874,2019-05-17
71,"71C","ARME",29,1,"T","C","LMR","SF",2019-06-22,"81","NA","NA","1",98,1.23,1.2,NA,NA,NA,605822,4023874,2019-05-17
72,"72S","ARME",30,1,"T","S","SF","LMR",2019-08-07,"0","0","2","NA",74.4,1.23,0.91,NA,NA,NA,605822,4023874,2019-05-17
72,"72C","ARME",30,1,"T","C","LMR","SF",2019-06-22,"77","NA","NA","1",73.89,1.23,0.91,NA,NA,NA,605822,4023874,2019-05-17
73,"73S","ARME",31,1,"T","S","SF","LMR",2019-08-07,"0","0","0","NA",100,1.23,1.23,NA,NA,NA,605822,4023874,2019-05-17
