leafID,leafID2,species,ind,leaf,trt,spore_assay,total area,perc_lesion
208,208S,LIDE,8,1,C,S,47,0.312
208,208C,LIDE,8,1,C,C,18,0.119
209,209S,LIDE,9,1,C,S,0,
209,209C,LIDE,9,1,C,C,0,
210,210S,LIDE,10,1,C,S,0,
210,210C,LIDE,10,1,C,C,0,
211,211S,LIDE,11,1,C,S,0,
211,211C,LIDE,11,1,C,C,0,
212,212S,LIDE,12,1,C,S,0,
212,212C,LIDE,12,1,C,C,0,
213,213S,LIDE,13,1,C,S,0,
213,213C,LIDE,13,1,C,C,0,
214,214S,LIDE,14,1,C,S,0,
214,214C,LIDE,14,1,C,C,0,
215,215S,LIDE,15,1,C,S,0,
215,215C,LIDE,15,1,C,C,0,
216,216S,LIDE,16,1,C,S,0,
216,216C,LIDE,16,1,C,C,0,
217,217S,LIDE,17,1,C,S,17,0.104
217,217C,LIDE,17,1,C,C,73,0.448
218,218S,LIDE,18,1,C,S,17,0.104
218,218C,LIDE,18,1,C,C,10,0.061
219,219S,LIDE,19,1,C,S,26,0.16
219,219C,LIDE,19,1,C,C,50,0.307
220,220S,LIDE,20,1,C,S,3,0.018
220,220C,LIDE,20,1,C,C,3,0.018
221,221S,LIDE,21,1,C,S,0,
221,221C,LIDE,21,1,C,C,0,
222,222S,LIDE,22,1,C,S,0,
222,222C,LIDE,22,1,C,C,0,
223,223S,LIDE,23,1,C,S,0,
223,223C,LIDE,23,1,C,C,0,
224,224S,LIDE,24,1,C,S,0,
224,224C,LIDE,24,1,C,C,0,
225,225S,LIDE,25,1,C,S,0,
225,225C,LIDE,25,1,C,C,0,
226,226S,LIDE,26,1,C,S,1103,
226,226C,LIDE,26,1,C,C,0,
227,227S,LIDE,27,1,C,S,0,
227,227C,LIDE,27,1,C,C,0,
228,228S,LIDE,28,1,C,S,0,
228,228C,LIDE,28,1,C,C,0,
229,229S,LIDE,29,1,C,S,0,
229,229C,LIDE,29,1,C,C,0,
230,230S,LIDE,30,1,C,S,0,
230,230C,LIDE,30,1,C,C,0,
231,231S,LIDE,31,1,C,S,0,
231,231C,LIDE,31,1,C,C,0,
232,232S,LIDE,32,1,C,S,0,
232,232C,LIDE,32,1,C,C,0,
233,233S,QUAG,1,1,T,S,3127,
234,234S,QUAG,2,1,T,S,2361,
235,235S,QUAG,3,1,T,S,1768,
236,236S,QUAG,4,1,T,S,2672,
237,237S,QUAG,5,1,T,S,1362,8.13
238,238S,QUAG,6,1,T,S,6380,36.119
239,239S,QUAG,7,1,T,S,4241,24.009
240,240S,QUAG,8,1,T,S,2052,11.617
241,241S,QUAG,9,1,T,S,2005,12.328
242,242S,QUAG,10,1,T,S,4452,27.373
243,243S,QUAG,11,1,T,S,1822,8.423
244,244S,QUAG,12,1,T,S,5136,26.366
245,245S,QUAG,13,1,T,S,2071,10.641
246,246S,QUAG,14,1,T,S,1345,6.911
247,247S,QUAG,15,1,T,S,2154,11.068
248,248S,QUAG,16,1,T,S,2490,12.794
